id xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag
2 458.32 12.661 0.68554 -0.12325 -0.40859 25 0 414 2.3851 -0.94378
3 250.89 49.746 0.8559 0.53301 0.37717 25 0 417 2.128 -0.81993
5 165.47 192.71 0.79088 0.24685 0.038825 25 0 555.11 2.4502 -0.97301
6 231.43 243.09 0.50876 0.18141 -0.49179 25 0 248.33 1.2341 -0.22837
8 714.53 339.89 0.92167 0.72212 -0.23609 25 0 253.35 1.302 -0.28657
10 509.39 509.37 0.94896 0.12134 -0.12174 25 0 8410 57.068 -4.391
12 429.19 761.33 0.52775 0.085079 -0.22912 25 0 279.86 1.66 -0.55024
13 962.81 761.2 0.53803 0.1506 0.51409 25 0 678.6 3.9977 -1.5045
14 916.36 797.51 0.84034 0.32506 -0.20017 25 0 1302.2 5.75 -1.8992
13 230.93 248.81 0.91972 0.23519 0.89271 25 0 299.05 1.5954 -0.50716
25 944.52 927.43 0.79671 0.15926 0.22011 25 0 4821.9 17.056 -3.0797
11 332.81 223.43 0.95566 -0.177 -0.27829 25 0 771.85 4.1982 -1.5577
